ID,Page type
MEDIOLANUM-ES24.B(subfund),cover
MEDIOLANUM-ES24.B(investments),investments
EURIZON-EN23(renaming),renaming
EURIZON-EN23(merging),renaming
EURIZON-EN23(merging),subsequent_events
EURIZON-EN23(inv_managers_begin),inv_managers_begin
EURIZON-EN23(fund_assets),fund_assets
EURIZON-EN23(inv_managers),inv_managers
EURIZON-EN23(manco),manco
EURIZON-EN23(investments),investments
EURIZON-EN23(inv_managers_end),inv_managers_end
EURIZON-EN23(sfdr),sfdr_classification
EURIZON-EN23(esg_fund),sfdr_classification
EURIZON-EN23(esg_indicators),esg_indicators
KAIROS-EN23(investments),investments
KAIROS-EN23(manco),manco
KAIROS-EN23(renames),merges
KAIROS-EN23(merges),merges
KAIROS-EN23(fund_assets),fund_assets
KAIROS-EN23(sfdr),sfdr_classification
KAIROS-EN23(esg),sfdr_classification
KAIROS-EN23(sfdr2),sfdr_classification_2
